1251,연세동문V카드(LIFE CARE),우리카드,"해외겸용 5,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1251/card_img/21057/1251card.png
1252,연세동문V카드(ASIANA),우리카드,"해외겸용 5,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/1252/card_img/21056/1252card.png
1253,랭킹닭컴 하나카드,하나카드,"해외겸용 15,000원",전월실적30만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/1253/card_img/21055/1253card.png
1254,에코마일리지 우리체크카드,우리카드,국내전용 없음,전월실적30만원 이상,BC,https://api.card-gorilla.com:8080/storage/card/1254/card_img/21054/1254card.png
1255,우리 한국장학재단(KOSAF) 체크카드,우리카드,해외겸용 없음,전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1255/card_img/21053/1255card.png
1256,카드의정석 U+알뜰모바일 CHECK,우리카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,VISABC,https://api.card-gorilla.com:8080/storage/card/1256/card_img/21051/1256card.png
1257,화물차유류구매카드(개인체크),우리카드,국내전용 없음,전월실적없음,BC,https://api.card-gorilla.com:8080/storage/card/1257/card_img/21050/1257card.png
1258,OK캐쉬백 썸(SUM)타는 우리체크카드,우리카드,국내전용 없음 해외겸용 없음,전월실적25만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/1258/card_img/21049/1258card.png
1259,LGU+ 라서즐거운 체크카드,우리카드,해외겸용 없음,전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1259/card_img/21048/1259card.png
1260,우리성당 체크카드,우리카드,해외겸용 없음,전월실적30만원 이상,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/1260/card_img/21047/1260card.png
1261,우리 국민연금증체크카드,우리카드,국내전용 없음,전월실적없음,BC,https://api.card-gorilla.com:8080/storage/card/1261/card_img/21046/1261card.png
1262,POP 우리V체크카드,우리카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,VISABCUnionPay,https://api.card-gorilla.com:8080/storage/card/1262/card_img/21045/1262card.png
1263,태평백화점 삼성티클래스카드,삼성카드,"해외겸용 20,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1263/card_img/21044/1263card.png
1264,태평백화점 삼성애니패스포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1264/card_img/21043/1264card.png
1265,코레일멤버십이마트 삼성티클래스카드,삼성카드,"해외겸용 20,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1265/card_img/21042/1265card.png
1266,코레일멤버십 삼성티클래스카드,삼성카드,"해외겸용 20,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1266/card_img/21041/1266card.png
1267,크리스찬 삼성애니패스카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1267/card_img/21040/1267card.png
1268,코레일멤버십이마트 삼성지엔미포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1268/card_img/21039/1268card.png
1269,패밀리클럽 플래티넘 위버스카이 카드,롯데카드,"해외겸용 150,000원",전월실적없음,AMEX,https://api.card-gorilla.com:8080/storage/card/1269/card_img/21038/1269card.jpg
