개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
대형마트,08_25_01_P,(주)홈플러스 칠곡점,340320.722709596,272735.675659876,대형마트,홈플러스
대형마트,08_25_01_P,신세계이마트 칠성점,343510.573192364,266134.259920881,대형마트,이마트
대형마트,08_25_01_P,(주)이마트 칠성점,343510.573192364,266134.259920881,대형마트,이마트
대형마트,08_25_01_P,홈플러스(주) 문화점,236541.282086201,313349.96682002,대형마트,홈플러스
대형마트,08_25_01_P,롯데쇼핑(주)롯데마트화명점,383175.025396512,194733.01249893,대형마트,롯데마트
대형마트,08_25_01_P,홈플러스(주)서부산점,380128.339808992,186803.363627799,대형마트,홈플러스
대형마트,08_25_01_P,롯데쇼핑(주)롯데마트사상점,379352.805619145,182712.079140728,대형마트,롯데마트
대형마트,08_25_01_P,홈플러스(주) 안동점,354764.104994681,341554.03301387,대형마트,홈플러스
대형마트,08_25_01_P,(주)이마트 안동점,352071.498057006,341053.155066362,대형마트,이마트
대형마트,08_25_01_P,롯데마트 울산점,409970.39080848,228450.864733161,대형마트,롯데마트
대형마트,08_25_01_P,홈플러스테스코(주)울산북구점,412349.300490111,239222.450142668,대형마트,홈플러스
대형마트,08_25_01_P,홈플러스 주식회사 울산남구점,410624.959296763,227668.041604165,대형마트,홈플러스
대형마트,08_25_01_P,(주)신세계이마트울산점,412914.802999794,229015.430064688,대형마트,이마트
대형마트,08_25_01_P,홈플러스 주식회사 전주완산점,213487.497985724,258187.996076138,대형마트,홈플러스
대형마트,08_25_01_P,롯데쇼핑(주) 롯데마트 전주점,209193.584320494,257365.921223342,대형마트,롯데마트
대형마트,08_25_01_P,홈플러스 주식회사 전주점,213740.884762631,260828.803055357,대형마트,홈플러스
대형마트,08_25_01_P,(주)이마트 전주점,210795.594377656,259168.919302767,대형마트,이마트
대형마트,08_25_01_P,홈플러스(주) 전주효자점,210232.852798594,256286.73889888,대형마트,홈플러스
대형마트,08_25_01_P,이마트 펜타포트점,208976.4764518,366326.634370741,대형마트,이마트
대형마트,08_25_01_P,롯데쇼핑(주)롯데마트천안점,210350.365980618,366539.832359485,대형마트,롯데마트
대형마트,08_25_01_P,이마트 천안점,211285.641300884,366082.226799409,대형마트,이마트
대형마트,08_25_01_P,롯데쇼핑(주)롯데마트성정점,212419.103451336,369433.656719309,대형마트,롯데마트
대형마트,08_25_01_P,홈플러스 천안점,214695.358784324,366435.793995253,대형마트,홈플러스
대형마트,08_25_01_P,이마트  천안터미널점,213910.850637373,368774.087611534,대형마트,이마트
대형마트,08_25_01_P,이마트 서북점,210827.459637775,370795.653061274,대형마트,이마트
대형마트,08_25_01_P,롯데쇼핑(주)롯데마트 홍성점,170963.816189316,344485.565134627,대형마트,롯데마트
대형마트,08_25_01_P,홈플러스 주식회사(계룡점),223032.827784192,308171.543487808,대형마트,홈플러스
대형마트,08_25_01_P,이마트 하남점,218076.91973786,450073.163619109,대형마트,이마트
대형마트,08_25_01_P,(주)이마트평촌점,196752.332727486,432521.042909087,대형마트,이마트
대형마트,08_25_01_P,롯데쇼핑(주)롯데마트 경기양평점,244381.267486222,443145.649076961,대형마트,롯데마트
대형마트,08_25_01_P,(주)이마트 포천점,214023.590086578,482831.746228286,대형마트,이마트
대형마트,08_25_01_P,홈플러스의정부점,206192.090833323,472186.18249487,대형마트,홈플러스
대형마트,08_25_01_P,이마트 의정부점,208951.542114843,471192.156816017,대형마트,이마트
대형마트,08_25_01_P,(주)이마트 죽전점,209673.343954233,424823.677745145,대형마트,이마트
대형마트,08_25_01_P,홈플러스(주)오산점,205417.553946702,407590.511508128,대형마트,홈플러스
대형마트,08_25_01_P,(주)이마트 용인점,216717.733040208,414404.502750642,대형마트,이마트
대형마트,08_25_01_P,롯데마트 터미널점,201341.191554264,364818.034415495,대형마트,롯데마트
대형마트,08_25_01_P,홈플러스 주식회사 동촌점,349426.805402323,266377.854783573,대형마트,홈플러스
대형마트,08_25_01_P,(주)이마트 반야월점,355939.362329351,264777.243597576,대형마트,이마트
대형마트,08_25_01_P,(주)이마트 월배점,337647.188646821,258512.316695219,대형마트,이마트
대형마트,08_25_01_P,(주)이마트 성서점,336343.945542934,262554.743800908,대형마트,이마트
대형마트,08_25_01_P,홈플러스(주) 성서점,337916.079938251,262111.061697986,대형마트,홈플러스
대형마트,08_25_01_P,홈플러스(주)  상인점,338508.039690504,258645.860959228,대형마트,홈플러스
대형마트,08_25_01_P,(주)이마트 만촌점,347757.985568431,264692.744180043,대형마트,이마트
대형마트,08_25_01_P,홈플러스 대구 수성점,346586.097961164,261066.09520777,대형마트,홈플러스
대형마트,08_25_01_P,롯데쇼핑(주) 롯데마트 서대전점,228962.548245134,311265.617953081,대형마트,롯데마트
대형마트,08_25_01_P,홈플러스(주)유성점,231731.951925609,317572.617410814,대형마트,홈플러스
