개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
백화점,08_25_01_P,롯데백화점 대구점,344052.576927614,265131.653371228,백화점,롯데
백화점,08_25_01_P,이랜드리테일 NC 중앙로역점,238117.420454614,314301.953643137,백화점,
백화점,08_25_01_P,백화점 세이,236652.169401097,313435.556285727,백화점,
백화점,08_25_01_P,(주)현대백화점 울산점,411768.0407494,229164.489593214,백화점,현대
백화점,08_25_01_P,롯데백화점 울산점,412001.966655452,229039.563308072,백화점,롯데
백화점,08_25_01_P,롯데쇼핑(주) 롯데백화점 전주점,210932.176422652,259384.667767568,백화점,롯데
백화점,08_25_01_P,전주코아백화점,213010.115138226,258388.283849404,백화점,
백화점,08_25_01_P,한화갤러리아(주) 센터시티,209271.952837052,366567.801041603,백화점,갤러리아
백화점,08_25_01_P,롯데쇼핑(주)롯데백화점 평촌점,195544.974046367,432016.783362963,백화점,롯데
백화점,08_25_01_P,주식회사 신세계 경기점,209514.367988403,424782.528523847,백화점,신세계
백화점,08_25_01_P,(주)신세계 의정부점,204011.301931196,470564.015529834,백화점,신세계
백화점,08_25_01_P,롯데백화점 상인점,339047.793378934,258741.902180368,백화점,롯데
백화점,08_25_01_P,(주)신세계 동대구복합환승센터,347037.241970286,265407.404336831,백화점,신세계
백화점,08_25_01_P,동명백화점,159271.535417339,-27435.1082417437,백화점,
백화점,08_25_01_P,(주)메가마트 엠 춘천점,264033.833068137,486464.959442249,백화점,
백화점,08_25_01_P,롯데백화점 광복점,385590.814676765,179553.867031936,백화점,롯데
백화점,08_25_01_P,주식회사   현대백화점 부산점,387539.767677801,184402.96650913,백화점,현대
백화점,08_25_01_P,(주)현대백화점 동구점,420520.452195917,227362.248793607,백화점,현대
백화점,08_25_01_P,(주)이마트 신월점,184796.999053109,448625.389554748,백화점,
백화점,08_25_01_P,현대백화점 미아점,202466.801084521,456227.571720914,백화점,현대
백화점,08_25_01_P,현대백화점 신촌점,194265.067639805,450433.691021245,백화점,현대
백화점,08_25_01_P,현대백화점 대구점,343588.735554802,264119.010750105,백화점,현대
백화점,08_25_01_P,(주)준성공,399897.502965733,262635.121193853,백화점,
백화점,08_25_01_P,뉴코아순천점,247410.736823692,163957.828214531,백화점,
백화점,08_25_01_P,롯데쇼핑(주) 남악점,150976.298714347,145015.31300588,백화점,롯데
백화점,08_25_01_P,셀비즈백화점,152495.151347759,-885.089142987237,백화점,
백화점,08_25_01_P,아이파크(I PARK)백화점,196762.077394917,447480.039577359,백화점,
백화점,08_25_01_P,현대백화점목동점,188884.075622342,447186.888604306,백화점,현대
백화점,08_25_01_P,행복한백화점,188977.171050288,447466.355031447,백화점,
백화점,08_25_01_P,신세계백화점,198263.90839194,450960.762964932,백화점,신세계
백화점,08_25_01_P,롯데백화점 영등포점,191741.345847708,445970.307641467,백화점,롯데
백화점,08_25_01_P,(주)신세계 타임스퀘어점,191581.500265536,446108.807192753,백화점,신세계
백화점,08_25_01_P,신세계백화점메사점,198129.435542814,450900.239718295,백화점,신세계
백화점,08_25_01_P,롯데백화점 본점,198259.65357739,451392.198218657,백화점,롯데
백화점,08_25_01_P,NC백화점 광주점,191482.021147695,184739.201719547,백화점,
백화점,08_25_01_P,대백프라자,345032.238220744,262949.871621315,백화점,
백화점,08_25_01_P,갤러리아백화점 진주점,298496.244248712,189144.044742329,백화점,갤러리아
백화점,08_25_01_P,한화갤러리아(주) 진주점,298496.244248712,189144.044742329,백화점,갤러리아
백화점,08_25_01_P,(주)동보올리브백화점,174172.521279,439905.780965785,백화점,
백화점,08_25_01_P,롯데백화점 부평점,175119.872281497,443502.318221991,백화점,롯데
백화점,08_25_01_P,모다이노칩 부평점,175119.872281497,443502.318221991,백화점,
백화점,08_25_01_P,롯데쇼핑(주)인천점,173499.267314606,437739.32138498,백화점,롯데
백화점,08_25_01_P,롯데쇼핑(주) 안산점,185262.981866275,424012.30109378,백화점,롯데
백화점,08_25_01_P,롯데쇼핑(주) 롯데백화점 일산점,179812.331183859,462059.506265122,백화점,롯데
백화점,08_25_01_P,현대백화점 킨텍스점,178006.080301401,462865.812502378,백화점,현대
백화점,08_25_01_P,그랜드백화점일산점,178859.791398959,463205.227173138,백화점,
백화점,08_25_01_P,(주)현대백화점 중동점,178901.991280584,444701.557193,백화점,현대
백화점,08_25_01_P,롯데쇼핑(주)  중동점,180053.344972882,444507.865626959,백화점,롯데
백화점,08_25_01_P,롯데백화점 분당점,210053.033510874,430715.591035213,백화점,롯데
백화점,08_25_01_P,현대백화점 판교점,209850.446960528,432304.149379043,백화점,현대
백화점,08_25_01_P,AK PLAZA 분당점,210853.833466798,431447.85813153,백화점,
백화점,08_25_01_P,NC백화점 야탑점,211200.046775342,434263.681539619,백화점,
백화점,08_25_01_P,롯데백화점 건대스타시티점,206217.434726027,448506.218743834,백화점,롯데
백화점,08_25_01_P,롯데백화점 청량리역사점,204081.282117393,453187.395154017,백화점,롯데
백화점,08_25_01_P,(주) 이랜드리테일 강서점,185824.428508883,450866.252126246,백화점,
백화점,08_25_01_P,롯데백화점 미아점,202625.646264572,456875.973976242,백화점,롯데
백화점,08_25_01_P,롯데백화점 노원점,205320.28476675,461419.881795004,백화점,롯데
백화점,08_25_01_P,건영옴니백화점,205645.891969072,459609.012509743,백화점,
백화점,08_25_01_P,롯데쇼핑본점영플라자,198315.532747026,451248.141599825,백화점,롯데
백화점,08_25_01_P,롯데백화점 에비뉴엘 월드타워점,209074.900840074,445657.80932984,백화점,롯데
백화점,08_25_01_P,뉴코아백화점,200367.985010323,445207.663497148,백화점,
백화점,08_25_01_P,신세계백화점 강남점,200250.447804795,444683.220506107,백화점,신세계
