개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
병원,01_01_01_P,의료법인 행복한의료재단 사천중앙요양병원,299970.331817097,176114.707951283,병원,
병원,01_01_01_P,사천동희병원,299722.420372156,177131.778302542,병원,
병원,01_01_01_P,의료법인 삼포의료재단 현대요양병원,297272.390841,159579.149079339,병원,
병원,01_01_01_P,양산병원,395040.472611256,213377.473805258,병원,
병원,01_01_01_P,프라임요양병원,337000.344449987,232019.592439762,병원,
병원,01_01_01_P,의료법인창녕서울의료재단창녕서울병원,335772.463797574,227136.370010742,병원,
병원,01_01_01_P,서로손병원,244062.451738012,351633.270302231,병원,
병원,01_01_01_P,의료법인 덕산의료재단 한마음병원,300255.883108403,160128.647992203,병원,
병원,01_01_01_P,의료법인 순영의료재단 순영병원,295188.521840989,177586.56051756,병원,
병원,01_01_01_P,의료법인 행복한의료재단 경남도립사천노인전문병원,295277.741494575,177495.173651312,병원,
병원,01_01_01_P,의료법인승연의료재단 삼천포서울병원,298618.809313345,159904.012939162,병원,
병원,01_01_01_P,삼천포제일병원,298549.272379406,160387.396615535,병원,
병원,01_01_01_P,사천서울아동병원,299463.071476421,176223.37211629,병원,
병원,01_01_01_P,의료법인 덕산의료재단 한마음노인요양병원,300255.883108403,160128.647992203,병원,
병원,01_01_01_P,의료법인 서해병원,171788.459236718,287151.50602701,병원,
병원,01_01_01_P,서천사랑병원,172340.615946287,296497.699304062,병원,
병원,01_01_01_P,통합요양병원,163595.353434417,316904.526814013,병원,
병원,01_01_01_P,신제일병원,163431.63692949,315940.585314723,병원,
병원,01_01_01_P,서천한국요양병원,173350.433213724,284023.690753376,병원,
병원,01_01_01_P,동서천요양병원,182691.20512124,285127.064639477,병원,
병원,01_01_01_P,보령엘피스병원,165982.400353926,317240.955388107,병원,
병원,01_01_01_P,보령시립노인전문병원,164830.395286384,322833.010342719,병원,
병원,01_01_01_P,당진효제요양병원,175206.648436285,374073.420691832,병원,
병원,01_01_01_P,당진솔담요양병원,162466.331945811,379042.625562785,병원,
병원,01_01_01_P,당진성모병원,166731.474833323,376920.425081867,병원,
병원,01_01_01_P,열린내과병원,167215.974916553,377340.276243166,병원,
병원,01_01_01_P,당진요양병원,178756.789610089,376140.829457436,병원,
병원,01_01_01_P,당진종합병원,171789.915922542,378138.330016113,병원,
병원,01_01_01_P,의료법인 일선의료재단 화성현대요양병원,181968.158458505,393435.044662133,병원,
병원,01_01_01_P,의료법인상운의료재단 동탄제일병원,206894.690660412,412755.867174553,병원,
병원,01_01_01_P,한림대학교동탄성심병원,207031.190216319,412755.476381898,병원,
병원,01_01_01_P,센트럴아동병원,206325.039007167,411418.618291691,병원,
병원,01_01_01_P,의료법인정도의료재단 아미고요양병원,180603.130562148,411414.554343326,병원,
병원,01_01_01_P,의료법인 승민의료재단 화성초록병원,196092.109352677,398679.644668338,병원,
병원,01_01_01_P,메타메디병원,205153.119396797,412822.995561994,병원,
병원,01_01_01_P,동탄시티병원,205488.057120239,411845.198436186,병원,
병원,01_01_01_P,새샘병원,202893.721053483,411863.656170048,병원,
병원,01_01_01_P,청주현대병원,237893.626146114,348059.701676636,병원,
병원,01_01_01_P,모태안여성병원,239750.917571461,346266.725891789,병원,
병원,01_01_01_P,의료법인창민의료재단제천병원,304933.513627597,403114.742041728,병원,
병원,01_01_01_P,의료법인창민의료재단제천노인전문요양병원,304933.513627597,403114.742041728,병원,
병원,01_01_01_P,의료법인정산의료재단효성병원,244236.596833557,347136.155157747,병원,
병원,01_01_01_P,삼성우리요양병원,203653.839340323,412527.345815506,병원,
병원,01_01_01_P,의료법인 음성소망의료재단 음성소망병원,251291.450478745,392384.53603225,병원,
병원,01_01_01_P,의료법인 현대소망의료재단 현대병원,251238.161964467,392372.93698557,병원,
병원,01_01_01_P,남궁요양병원,243787.465985619,348050.139089098,병원,
병원,01_01_01_P,공군항공우주의료원,247129.428058927,342190.514141009,병원,
병원,01_01_01_P,하나노인전문병원,239365.944522284,345499.0958664,병원,
병원,01_01_01_P,서울아동병원,239265.045301132,348079.649406227,병원,
병원,01_01_01_P,청주성모병원,243367.115374308,352601.055915747,병원,
병원,01_01_01_P,의료법인인화재단한국병원,244326.299433203,346630.652525856,병원,
병원,01_01_01_P,의료법인혜광의료재단충북병원,239785.266978022,334057.40645519,병원,
병원,01_01_01_P,주사랑병원,248243.883421592,339235.126615815,병원,
병원,01_01_01_P,오창중앙병원,238318.192840427,356254.809484516,병원,
병원,01_01_01_P,예미담요양병원,244068.667395136,351687.001679058,병원,
병원,01_01_01_P,예사랑병원,245014.955921065,344195.632963697,병원,
병원,01_01_01_P,씨엔씨푸른병원,238370.672750086,347272.510736329,병원,
