개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
뷰티,07_22_03_P,씨제이올리브영(주) 김해내동점,369867.782203642,194726.992938599,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 미아사거리점,202643.951841314,456729.732068647,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 이천증포점,240491.191081323,421588.881613475,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 모란시장점,211335.395913077,436495.735614396,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 일산주엽점,178921.755604618,462986.547889216,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)대전대흥점,238039.970308048,314148.772548161,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주),200138.681099544,418366.097210639,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 진주중앙점,298563.812131342,188816.438904691,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)울산삼산대로점,411705.621268347,229110.334812107,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)창동점,204313.906829097,461347.878668101,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 안산중앙로데오점,185501.122608241,424062.125860905,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 명동점,198561.881070383,451199.847888854,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 부산일광점,402773.088779359,198581.50517151,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)울산송정점,414295.859698055,236035.714238821,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 구로디지털대로점,191187.50683561,442350.225867324,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)전남고흥점,226037.702816814,123288.544188882,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영주식회사구미문성점,320480.644954894,296133.138258913,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 송도삼성바이오로직스점,169819.301442588,429468.485971288,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 경남함양점,265909.501512479,224864.740507824,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 롯데아울렛고양점,187849.01957446,458589.280565554,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 이마트킨텍스점,177349.707402843,462162.606173795,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 일산역점,,,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 광주충장로3가점,192219.985075547,183224.486179979,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주),355393.31595478,185108.417104492,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 경기여주DI점,256507.103682509,419809.915712723,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 남위례역점,212361.184210244,440198.570233572,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)검단아라점,,,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 수원영통역점,206539.285410275,416884.39256056,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)가평점,245127.8843013,480957.176988484,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영 주식회사 세종 반곡점,227701.597004664,333015.395979909,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)제주협재점,129271.317189446,-11167.8493170413,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)부산온천점,389375.906103491,192827.863101832,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 신금호역점,201682.297363756,450217.567723385,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)제주제원점,152550.052286751,-923.051590050326,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 롯데아울렛 남악점,150976.298714347,145015.31300588,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 평택로데오점,207885.553859205,387734.853385475,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 인덕원역점,197924.69887274,433185.215529094,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 어린이대공원역점,206358.937042198,449462.245545171,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)원주단계점,283017.771825827,428762.472961975,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)무교동점,198117.52530179,451757.623911747,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)평택고덕로데오점,204147.923613774,395067.380291586,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 화곡역사거리점,185820.579860318,448788.208335435,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 삼성중앙역점,204377.539371534,445582.398728238,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 현대씨티아울렛 동대문점,200613.510297669,451817.515366883,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)플러스점,197563.069805939,449934.157783456,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 대구 강창역점,333519.827218791,262460.926734733,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영주식회사대구수성스퀘어점,346271.979581791,259441.744147136,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 파주다율점,176313.337917172,470243.677017433,뷰티,올리브영
뷰티,07_22_03_P,올리브영 철원동송점,219023.194149365,522746.347623695,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 청라시티점,167246.640935907,448018.773035085,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)부천시청사거리점,179025.100796008,444802.337273025,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 동탄그랑파사쥬점,209358.316672081,407254.706735502,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영 (주)부산부곡DI점,390430.079143769,195205.64458752,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)울산성남점,410418.712905883,230725.42941519,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 이천터미널점,239514.789592958,419668.539509834,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 해운대역점,396653.178857105,186986.567112285,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 양원역점,209370.000863676,456057.972668203,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)인천루원시티점,,,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)대전부사점,238928.741131696,312617.333671635,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 수원호매실사거리점,196765.920520651,417424.197517001,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 전북고창점,172795.082512775,215079.015278544,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 성남은행점,214514.373694596,439559.894897803,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)광주첨단쌍암점,186277.406149012,190760.163382792,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)헬리오시티점,209412.197809542,443928.783342251,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)김포공항국내선청사점,183007.220061564,450515.642035894,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 남구로점,190397.636959271,443127.162405937,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 진해신항점,365445.161128948,178100.603694291,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 인천시민공원역점,,,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)광명철산점,188343.512340699,441542.157893719,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 장위뉴타운점,204225.832819654,457424.675484944,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)제주나인몰점,152952.683348842,-1629.97433633358,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 고척아이파크몰점,187477.579440706,444045.294921843,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 울산신정점,409523.46995744,229332.147629055,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 인천터미널역점,173313.926525402,437767.610913384,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 울산온산점,409608.076029975,217354.346736604,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영주식회사천안역점,213145.007534091,367451.618122438,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 포항초곡점,410532.93762601,290989.756377732,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 아산탕정점,207614.331578476,365132.003363705,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 신사서초점,201643.645893671,445764.161880369,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 개포동점,205368.40904389,442230.936328995,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 평택동삭점,208268.987840817,390587.62457362,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 명동타임워크점,198433.903211956,451323.216289926,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 대전파랑새점,234025.608777598,316944.880936074,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 안양호계점,196151.092616934,430016.029315336,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)목동파리공원점,189212.074951921,448218.44369401,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 역곡역남부점,183194.321517965,442466.874255155,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 미사강변점,216490.852278266,450444.541102342,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)대구내당점,340989.4715756,263287.226654376,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 부산문현점,388710.81209401,183977.768048483,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 염창역 9호선점,188900.027366804,449430.050751834,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 신논현역점,202760.060078829,444938.703012503,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 송도랜드마크시티점,166239.007830646,434891.007675792,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 대전역점,238735.849912168,314738.001593265,뷰티,올리브영
뷰티,07_22_03_P,씨제이 올리브영(주) 대학로점,199799.124330486,453417.15594061,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 테헤란로점,205214.677216229,445023.451397432,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 의정부엘스퀘어점,210383.354355243,471952.050120805,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 롯데몰은평점,192694.92374224,459461.236119623,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 수원매교점,201559.53418689,418602.288236093,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)미아뉴타운점,201731.684416461,457219.335594234,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)인천검단센트럴점,,,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 다산지금점,215332.444137337,455467.503833423,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 서서울호수공원점,185083.723112053,447504.666179971,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) AK금정점,195045.840185728,430029.875659413,뷰티,올리브영
뷰티,07_22_03_P,올리브영 홈플러스 방학점,203790.013568785,462495.417040876,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 올리브영 롯데월드몰점,209074.900840074,445657.80932984,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 구로구청점,190099.217394597,443743.18319767,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 판교카카오점,209702.768121414,432605.785114832,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주)춘천엔타점,265760.750878195,484782.142992886,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영(주) 경기광주 초월역점,226268.600933229,430263.804405729,뷰티,올리브영
뷰티,07_22_03_P,씨제이올리브영주식회사천안신부점,213910.850637373,368774.087611534,뷰티,올리브영
