개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
세탁,06_20_01_P,VIP 스파월드(주),192068.992141794,180828.26197753,세탁,
세탁,06_20_01_P,세탁사랑,192571.447774712,181683.533955958,세탁,
세탁,06_20_01_P,세탁천재,191357.541565843,178560.60390146,세탁,
세탁,06_20_01_P,금호사,192540.373058795,181348.790416162,세탁,
세탁,06_20_01_P,수정사,192540.627730131,180641.956508434,세탁,
세탁,06_20_01_P,문화세탁소,190282.685550339,183355.898188603,세탁,
세탁,06_20_01_P,남양세탁하기좋은날,191587.752262708,180637.646190166,세탁,
세탁,06_20_01_P,대창,191103.717032291,182931.986456997,세탁,
세탁,06_20_01_P,라인세탁소,191462.655558162,180761.025235347,세탁,
세탁,06_20_01_P,명성세탁,191158.75387548,178082.080017887,세탁,
세탁,06_20_01_P,명문세탁소,190504.578946394,182211.30352044,세탁,
세탁,06_20_01_P,웰빙 세탁소,191498.536449852,178669.203842865,세탁,
세탁,06_20_01_P,제일세탁소,191172.004076054,181741.235445535,세탁,
세탁,06_20_01_P,매직세탁하우스,187609.201252327,180189.157669507,세탁,
세탁,06_20_01_P,흥선,191120.241377639,183132.046236419,세탁,
세탁,06_20_01_P,진아세탁,191251.745484824,179478.760779812,세탁,
세탁,06_20_01_P,예담 세탁,189756.931195979,182340.644019056,세탁,
세탁,06_20_01_P,로얄 세탁소,187179.42986801,181916.097156708,세탁,
세탁,06_20_01_P,모아사,187422.223254208,181756.512707545,세탁,
세탁,06_20_01_P,성공세탁,187343.87263596,184209.333477369,세탁,
세탁,06_20_01_P,호남사,190215.309969845,183057.444503995,세탁,
세탁,06_20_01_P,영신사,191722.401517737,181195.173454385,세탁,
세탁,06_20_01_P,한일 클리닝 하우스,184382.123056722,175945.562045933,세탁,
세탁,06_20_01_P,현대사,190339.13057083,181471.692217303,세탁,
세탁,06_20_01_P,대주,190795.143779298,180288.164373697,세탁,
세탁,06_20_01_P,청명사,189377.49578519,183584.050371447,세탁,
세탁,06_20_01_P,스타세탁·수선,189370.7745345,183233.783537251,세탁,
세탁,06_20_01_P,인동사,189129.406432259,185395.490700573,세탁,
세탁,06_20_01_P,영광사,189182.414514749,184941.010229499,세탁,
세탁,06_20_01_P,낙양사,190330.849292396,183720.514732786,세탁,
세탁,06_20_01_P,남화 세탁소,188944.637345759,185416.651077004,세탁,
세탁,06_20_01_P,크린하우스,186689.596993844,181125.648743488,세탁,
세탁,06_20_01_P,국제사,187008.298284594,183246.899154185,세탁,
세탁,06_20_01_P,백아사,186874.365476959,183529.589742356,세탁,
세탁,06_20_01_P,호반세탁소,187650.730393657,185661.152889621,세탁,
세탁,06_20_01_P,SK하이크리닝,187958.450373702,179908.056143527,세탁,
세탁,06_20_01_P,상무컴퓨터세탁소,187245.451736733,184105.858451042,세탁,
세탁,06_20_01_P,백옥세탁소,188345.952547626,182646.260554079,세탁,
세탁,06_20_01_P,골든빌 세탁소,186582.308757145,184190.327994364,세탁,
세탁,06_20_01_P,성우 세탁소,186716.939868889,183009.125495,세탁,
세탁,06_20_01_P,중흥세탁,187230.913605187,184506.768827401,세탁,
세탁,06_20_01_P,금당세탁소,189177.183254401,180653.489938787,세탁,
세탁,06_20_01_P,호반세탁소,187477.873935784,181608.947824249,세탁,
세탁,06_20_01_P,명성세탁소,191518.464258589,181513.543220963,세탁,
세탁,06_20_01_P,행운사,191022.585335939,181830.252851258,세탁,
세탁,06_20_01_P,상훈사,191231.332800675,181561.658896415,세탁,
세탁,06_20_01_P,보람사세탁,188234.491526425,183836.255875194,세탁,
세탁,06_20_01_P,제일컴퓨터세탁,192402.778767216,184372.4560306,세탁,
세탁,06_20_01_P,동산사,194007.39294873,183166.211595996,세탁,
세탁,06_20_01_P,아남상가E로아남사,193611.121031885,181651.995188669,세탁,
세탁,06_20_01_P,한일사,192011.78733603,183537.893695967,세탁,
세탁,06_20_01_P,장미사,191904.866322137,183371.107755945,세탁,
세탁,06_20_01_P,백조,193251.746153076,184565.563237283,세탁,
세탁,06_20_01_P,두암타운세탁,193914.923185857,184535.426246896,세탁,
세탁,06_20_01_P,라인세탁,193836.703631731,181084.42937769,세탁,
세탁,06_20_01_P,대영컴퓨터세탁,192238.634949305,182990.008045973,세탁,
세탁,06_20_01_P,보광사,193419.037287132,183556.280527252,세탁,
세탁,06_20_01_P,진아컴퓨터세탁소,194048.721404753,180459.039763791,세탁,
세탁,06_20_01_P,제일사,193501.110249197,181320.577547581,세탁,
세탁,06_20_01_P,세라믹,193570.521387315,181493.728284334,세탁,
세탁,06_20_01_P,무등,194495.785108699,181686.2252332,세탁,
세탁,06_20_01_P,백광세탁소,341963.719989368,264360.640904324,세탁,
세탁,06_20_01_P,대덕사,340798.944200582,260310.341840723,세탁,
세탁,06_20_01_P,국제사,340850.920294318,260644.435566405,세탁,
세탁,06_20_01_P,상주사,341116.305342279,260573.669307367,세탁,
세탁,06_20_01_P,상아정문세탁소,344024.156176004,262779.451336422,세탁,
세탁,06_20_01_P,대일세탁소,344128.900338134,261135.660336481,세탁,
세탁,06_20_01_P,햇빛크리닝,347866.81023849,267205.697001804,세탁,
세탁,06_20_01_P,윤진세탁,347743.533775072,267488.303901619,세탁,
세탁,06_20_01_P,거창사,340801.131990781,260785.362199346,세탁,
세탁,06_20_01_P,백광,341174.489166125,260372.191655168,세탁,
세탁,06_20_01_P,태극사,341550.796147564,260788.633461346,세탁,
세탁,06_20_01_P,수정사,341497.814453064,260780.773623066,세탁,
세탁,06_20_01_P,궁전세탁,346314.889380538,265745.309012904,세탁,
세탁,06_20_01_P,그린세탁,345354.565894082,265430.419014451,세탁,
세탁,06_20_01_P,아름다운나날세탁소,356310.91765893,264295.293905556,세탁,
세탁,06_20_01_P,크린아트세탁소,347961.329310938,265454.108691931,세탁,
세탁,06_20_01_P,영진세탁소,347332.36945505,266472.214173633,세탁,
세탁,06_20_01_P,백광세탁소,349388.19782186,266170.417113326,세탁,
세탁,06_20_01_P,유성세탁빨래방,346801.104967516,264796.170377947,세탁,
세탁,06_20_01_P,대덕세탁,344267.484864008,260473.550070032,세탁,
세탁,06_20_01_P,네오빌 세탁소,349896.565423348,265885.062053745,세탁,
세탁,06_20_01_P,세탁나라,345659.732803164,265550.98371332,세탁,
세탁,06_20_01_P,청록세탁,343211.31199977,260512.7448401,세탁,
세탁,06_20_01_P,금강세탁소,342881.998368895,260927.81951316,세탁,
세탁,06_20_01_P,대영세탁소,349627.606316297,266044.942153978,세탁,
세탁,06_20_01_P,스타,342502.405664158,260862.64299483,세탁,
세탁,06_20_01_P,현대전자,342911.604418365,260866.072690703,세탁,
세탁,06_20_01_P,백미사,341782.259496835,262011.774815536,세탁,
세탁,06_20_01_P,유니나사세탁소,342353.796440286,262290.277323665,세탁,
세탁,06_20_01_P,효성세탁,354669.842205156,265242.475544799,세탁,
세탁,06_20_01_P,대성유니드세탁소,344520.986506208,262103.212405493,세탁,
세탁,06_20_01_P,월드세탁,342402.234753517,262964.726756393,세탁,
세탁,06_20_01_P,경북세탁소,344531.848767309,260845.456308198,세탁,
세탁,06_20_01_P,신용사,343063.599189795,260605.725680398,세탁,
세탁,06_20_01_P,신용세탁소,347779.85853717,265177.106622235,세탁,
세탁,06_20_01_P,수정,342478.381186266,262775.302846142,세탁,
세탁,06_20_01_P,다모아세탁전문점,342890.880977415,262250.538479936,세탁,
세탁,06_20_01_P,정우크리닝,342268.916042044,261644.336509905,세탁,
세탁,06_20_01_P,현대사,342476.96178105,261182.612556092,세탁,
세탁,06_20_01_P,유성세탁소,342420.478177322,261583.685645318,세탁,
세탁,06_20_01_P,한성,342138.485732344,261398.093187168,세탁,
세탁,06_20_01_P,럭키세탁소,342360.350704145,261445.643929463,세탁,
세탁,06_20_01_P,미미세탁소,348424.123777305,268989.275418086,세탁,
세탁,06_20_01_P,삼일세탁,347938.076795818,265127.212000299,세탁,
세탁,06_20_01_P,선호세탁소,342114.353887988,262003.45858629,세탁,
세탁,06_20_01_P,미광세탁,347855.717452759,265332.976458399,세탁,
세탁,06_20_01_P,대구세탁소,346323.014464522,264488.436718551,세탁,
세탁,06_20_01_P,월풀빨래방,343971.79291864,261478.032689467,세탁,
세탁,06_20_01_P,백미사,344282.930507583,262589.148411138,세탁,
세탁,06_20_01_P,반도세탁소,343934.380481576,262754.967309362,세탁,
세탁,06_20_01_P,영모세탁소,344641.939981678,261966.704975907,세탁,
세탁,06_20_01_P,아람세탁소,344582.375094924,261873.868873334,세탁,
세탁,06_20_01_P,강변코오롱하늘채크리닝,344957.26157654,261591.276469957,세탁,
세탁,06_20_01_P,백옥세탁소,341626.43667799,260531.964406699,세탁,
세탁,06_20_01_P,가야시스템,355671.755742969,264796.405518278,세탁,
세탁,06_20_01_P,맑은샘세탁소,350339.774010985,265194.285826948,세탁,
세탁,06_20_01_P,평화세탁,346255.254931751,266306.612906872,세탁,
세탁,06_20_01_P,경일세탁소,347391.421839384,266690.678282364,세탁,
세탁,06_20_01_P,청구세탁,348147.01627239,271080.298285045,세탁,
세탁,06_20_01_P,백조,341983.330043619,261950.978072513,세탁,
세탁,06_20_01_P,새하얀세탁,342984.850593606,262645.409667246,세탁,
세탁,06_20_01_P,영대세탁소,343357.09524761,261743.366485773,세탁,
세탁,06_20_01_P,하얀세탁,347947.15998588,269243.239104912,세탁,
세탁,06_20_01_P,강변세탁소,351584.002356049,265048.108404428,세탁,
세탁,06_20_01_P,그린세탁,345646.749508205,265042.083726238,세탁,
세탁,06_20_01_P,행복한세탁소,342526.142489141,260523.379852596,세탁,
세탁,06_20_01_P,호산나세탁소,342184.957395116,262164.146300555,세탁,
세탁,06_20_01_P,일흥세탁,342496.859683097,261800.394985501,세탁,
세탁,06_20_01_P,제일세탁소,342279.731539481,261284.648956775,세탁,
세탁,06_20_01_P,상록세탁수선,355436.833190537,264265.928079609,세탁,
세탁,06_20_01_P,백양세탁소,346208.18154868,264460.011034791,세탁,
세탁,06_20_01_P,우주세탁소,346212.824072986,264817.058064945,세탁,
