개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
아울렛,08_25_01_P,모다아울렛 경주보문점,406640.745856422,262693.090896716,아울렛,
아울렛,08_25_01_P,동아아울렛 강북점,339731.40434905,271557.940207262,아울렛,
아울렛,08_25_01_P,폴라렉스 아울렛,382731.210151804,192059.745558294,아울렛,
아울렛,08_25_01_P,뉴코아아울렛울산점,411305.368983537,229038.602247804,아울렛,
아울렛,08_25_01_P,(주)뉴코아아울렛 평촌점,195607.793974827,431900.704084955,아울렛,
아울렛,08_25_01_P,수원프리미엄아울렛,206698.825871309,418302.265469101,아울렛,
아울렛,08_25_01_P,롯데프리미엄아울렛 기흥점,210547.479033545,413684.298426578,아울렛,롯데
아울렛,08_25_01_P,모다아울렛 B동 오산점,204020.411719317,410030.536433244,아울렛,
아울렛,08_25_01_P,모다아울렛 A동 오산점,204020.411719317,410030.536433244,아울렛,
아울렛,08_25_01_P,롯데아울렛 이시아폴리스점,347690.434441289,270271.225719383,아울렛,롯데
아울렛,08_25_01_P,(주)현대백화점 현대시티아울렛 대구점,346807.086927073,264654.357512466,아울렛,현대
아울렛,08_25_01_P,모다아울렛(MODAoutlet),334682.626097655,260547.895903711,아울렛,
아울렛,08_25_01_P,롯데쇼핑(주) 프리미엄아울렛김해점,366527.647820362,188848.193746372,아울렛,롯데
아울렛,08_25_01_P,롯데쇼핑 주식회사 아울렛 군산점,176350.48248947,275156.881801195,아울렛,롯데
아울렛,08_25_01_P,대백아울렛 통영점,330722.011290641,152093.427869446,아울렛,
아울렛,08_25_01_P,모다아울렛,279950.011010575,384819.062612119,아울렛,
아울렛,08_25_01_P,조아아울렛,356547.495675322,260770.159857966,아울렛,
아울렛,08_25_01_P,모다아울렛 김천구미점,315259.441476919,295711.729369162,아울렛,
아울렛,08_25_01_P,모다아울렛(MODAoutlet)순천만플라자,249664.403726206,158698.469519398,아울렛,
아울렛,08_25_01_P,SC아울렛,246595.81940639,160387.285370863,아울렛,
아울렛,08_25_01_P,뉴코아순천아울렛킴스,247589.899439906,163955.515824998,아울렛,
아울렛,08_25_01_P,목동시장아울렛,188117.351835882,448552.989897945,아울렛,
아울렛,08_25_01_P,롯데아울렛 서울역점,197229.761422932,450418.159244379,아울렛,롯데
