개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
약국,01_01_06_P,란약국,193786.830156759,185954.519435835,약국,
약국,01_01_06_P,메디팜건강약국,194075.244056665,184984.418600969,약국,
약국,01_01_06_P,좋은약국,193146.400497929,186088.106546315,약국,
약국,01_01_06_P,라포약국,194270.107173452,184985.278273535,약국,
약국,01_01_06_P,뷰티온누리약국,190911.687703331,187580.179882729,약국,
약국,01_01_06_P,새명문약국,192627.998324077,185270.990532759,약국,
약국,01_01_06_P,오치우리약국,190687.301586932,187673.548172294,약국,
약국,01_01_06_P,태평양약국,191984.264710117,186016.597944179,약국,
약국,01_01_06_P,태양약국,193106.124187609,186019.409455742,약국,
약국,01_01_06_P,서울약국,192757.421737435,187364.564485975,약국,
약국,01_01_06_P,말바우약국,193193.555360609,186165.430668871,약국,
약국,01_01_06_P,메디치약국,190648.301321816,187608.604466454,약국,
약국,01_01_06_P,두암종로약국,193131.341846233,185968.478602361,약국,
약국,01_01_06_P,하나로문흥약국,192830.229930483,187318.793303437,약국,
약국,01_01_06_P,다사랑약국,192882.70405102,185802.81223739,약국,
약국,01_01_06_P,우리운암약국,188056.007503992,187270.440105017,약국,
약국,01_01_06_P,아이사랑약국,190768.520660323,187893.186050792,약국,
약국,01_01_06_P,일곡우리약국,190571.291994482,189362.976030017,약국,
약국,01_01_06_P,새생명약국,191189.943741073,185531.272016243,약국,
약국,01_01_06_P,동광주종로약국,193429.391117701,186619.890354386,약국,
약국,01_01_06_P,보림온누리약국,190283.135517837,187754.972571594,약국,
약국,01_01_06_P,삼성당약국,191303.717306331,185721.895605676,약국,
약국,01_01_06_P,대건종합약국,191099.77562566,184541.539416534,약국,
약국,01_01_06_P,오치우리들약국,191330.248292048,187413.125933377,약국,
약국,01_01_06_P,행복한약국,188544.62024139,190490.82766268,약국,
약국,01_01_06_P,대원약국,194168.630261965,184767.395565386,약국,
약국,01_01_06_P,온유약국,190772.762268024,187835.987792594,약국,
약국,01_01_06_P,밝은미래약국,190518.389574828,189764.772140608,약국,
약국,01_01_06_P,엘리트약국,191995.587431207,186249.852647469,약국,
약국,01_01_06_P,푸른숲약국,188188.620154467,190429.952128245,약국,
약국,01_01_06_P,대추나무약국,193824.301580588,186064.117713379,약국,
약국,01_01_06_P,명문약국,188527.77075665,190298.684177387,약국,
약국,01_01_06_P,생수약국,192446.666115203,186522.597062607,약국,
약국,01_01_06_P,보리수약국,189894.21456859,186775.053840387,약국,
약국,01_01_06_P,감마약국,191061.876828234,185577.433677805,약국,
약국,01_01_06_P,옵티마하나로약국,194069.845015991,184766.557703826,약국,
약국,01_01_06_P,메디팜신세계약국,190916.303468251,186681.623674033,약국,
약국,01_01_06_P,활명약국,188616.479340054,186624.465393677,약국,
약국,01_01_06_P,온누리대주약국,193101.309355533,186758.947345662,약국,
약국,01_01_06_P,신용약국,187096.729579082,189798.653376158,약국,
약국,01_01_06_P,동광주조제약국,193410.90906798,186591.292791976,약국,
약국,01_01_06_P,매곡한사랑약국,190324.680680725,187653.347006878,약국,
약국,01_01_06_P,민약국,187543.487758868,189718.506722483,약국,
약국,01_01_06_P,나일약국,192922.065386389,185836.946861492,약국,
약국,01_01_06_P,세명약국,192579.561727765,185283.87159868,약국,
약국,01_01_06_P,뉴건강약국,190751.201720185,188534.802433092,약국,
약국,01_01_06_P,조은온누리약국,188378.979307729,188765.475791227,약국,
약국,01_01_06_P,튼튼온누리약국,189069.632252913,186219.326502096,약국,
약국,01_01_06_P,시온약국,189818.652683621,185980.336959994,약국,
약국,01_01_06_P,하나약국,190942.240263151,186908.545005195,약국,
약국,01_01_06_P,통일로약국,193025.089754195,185923.450511549,약국,
약국,01_01_06_P,서광약국,193535.049272149,186265.995583336,약국,
약국,01_01_06_P,더조은약국,188496.805011733,190123.734569163,약국,
약국,01_01_06_P,다강온누리약국,191270.126313847,187516.20101274,약국,
약국,01_01_06_P,우리약국,193035.025179035,186859.616258807,약국,
약국,01_01_06_P,고명약국,193669.471951341,186291.620978247,약국,
약국,01_01_06_P,현대약국,190562.050580585,186559.18628426,약국,
약국,01_01_06_P,약손약국,191541.330248277,187701.383895867,약국,
약국,01_01_06_P,용봉약국,190924.71221844,186721.837875626,약국,
약국,01_01_06_P,코끼리약국,190713.531769481,187906.289659048,약국,
약국,01_01_06_P,국제약국,189902.578144206,185599.332531687,약국,
약국,01_01_06_P,참사랑약국,188397.559671046,186992.064524224,약국,
약국,01_01_06_P,정다운약국,190685.540587826,187932.136788725,약국,
약국,01_01_06_P,노벨약국,191730.170658508,184625.954422445,약국,
약국,01_01_06_P,큰나무약국,188703.028881424,186166.740662651,약국,
약국,01_01_06_P,나래종로약국,187543.487758868,189718.506722483,약국,
약국,01_01_06_P,오치종로약국,191575.382670807,187563.661481342,약국,
약국,01_01_06_P,천수약국,193343.495855989,186411.436692101,약국,
약국,01_01_06_P,풍향종로약국,193536.35331842,184742.611778425,약국,
약국,01_01_06_P,미래로약국,189163.986539503,190389.119825328,약국,
약국,01_01_06_P,편한약국,190289.021555707,187887.98887959,약국,
약국,01_01_06_P,동진한약국,192569.583802398,185168.771721702,약국,
약국,01_01_06_P,꿈꾸는약국,188452.786466759,190387.925177558,약국,
약국,01_01_06_P,정성약국,193119.621550238,186041.899306348,약국,
약국,01_01_06_P,메디팜빛고을약국,187709.929067266,187623.927443174,약국,
약국,01_01_06_P,서방약국,192631.703119783,185124.31505789,약국,
약국,01_01_06_P,푸른약국,193380.581360787,186319.239937957,약국,
약국,01_01_06_P,하나로중흥약국,191878.451602748,184909.035802263,약국,
약국,01_01_06_P,참약국,192783.566453213,187348.127822377,약국,
약국,01_01_06_P,사랑한약국,192444.273644826,186481.874878806,약국,
약국,01_01_06_P,자모약국,188431.1317284,186818.948180268,약국,
약국,01_01_06_P,메디팜일곡큰사랑약국,190588.474294108,189535.040937592,약국,
약국,01_01_06_P,하늘온누리약국,187544.929839588,189798.778629657,약국,
약국,01_01_06_P,21세기건강약국,192260.597948493,186694.581033954,약국,
약국,01_01_06_P,삼원약국,191405.909832703,184517.013019546,약국,
약국,01_01_06_P,용봉금호약국,190620.586167449,187358.023380079,약국,
약국,01_01_06_P,명지약국,190374.132023421,185400.542068082,약국,
약국,01_01_06_P,동화당약국,188410.572130286,186854.661652722,약국,
약국,01_01_06_P,모아당약국,191381.471452821,185576.313052703,약국,
약국,01_01_06_P,하나로오치약국,190802.990949376,187584.741703075,약국,
약국,01_01_06_P,우산종로약국,192391.654993273,186653.036560375,약국,
약국,01_01_06_P,빛고을문흥종로약국,192815.885,187399.85,약국,
약국,01_01_06_P,조은약국,342146.985257765,266426.655261221,약국,
약국,01_01_06_P,새복현약국,345835.519048849,267619.505200241,약국,
약국,01_01_06_P,무림약국,342810.043596322,266014.464868156,약국,
약국,01_01_06_P,태전제일약국,339574.5500786,270253.823468227,약국,
약국,01_01_06_P,건강한약국,340389.324731124,271257.221204456,약국,
약국,01_01_06_P,칠곡사랑약국,340643.863357124,271827.864077331,약국,
약국,01_01_06_P,메이저 온누리약국,343724.995706863,266435.070555517,약국,
약국,01_01_06_P,수정약국,342751.709792916,265681.264728987,약국,
약국,01_01_06_P,미소약국,344026.962297202,270517.774227732,약국,
약국,01_01_06_P,늘사랑약국,345874.145500541,267560.298560217,약국,
약국,01_01_06_P,다솔약국,340452.220348418,271308.748441788,약국,
약국,01_01_06_P,침산제일약국,343683.51140174,266413.982894595,약국,
약국,01_01_06_P,우리들약국,344895.220353819,267116.077660438,약국,
약국,01_01_06_P,사랑약국,342498.733313724,266510.519625003,약국,
약국,01_01_06_P,다나약국,346450.704110672,267014.33155126,약국,
약국,01_01_06_P,유일약국,345638.149230747,267471.71949917,약국,
약국,01_01_06_P,하약국,265906.995038603,224649.15911778,약국,
약국,01_01_06_P,제일약국,265923.295692199,224576.850886538,약국,
약국,01_01_06_P,백세온누리약국,273489.036225265,236828.419212681,약국,
약국,01_01_06_P,서울약국,273599.362142399,236749.958815433,약국,
약국,01_01_06_P,사랑약국,265971.62290828,224551.022976796,약국,
약국,01_01_06_P,메디팜 보민당약국,262150.455845687,242546.058273054,약국,
약국,01_01_06_P,수동약국,271235.223822252,224966.121908126,약국,
약국,01_01_06_P,한들약국,266059.067085579,224789.480484696,약국,
약국,01_01_06_P,늘푸른약국,266297.863863646,224737.322656038,약국,
약국,01_01_06_P,평화약국,266335.393415226,224693.905286676,약국,
약국,01_01_06_P,365팜프라자약국,217388.720596565,471109.179944509,약국,
약국,01_01_06_P,늘푸른약국,391378.138873759,192828.858107491,약국,
약국,01_01_06_P,광해약국,201337.611448823,364583.474683988,약국,
약국,01_01_06_P,코끼리약국,201878.423890349,363909.743136977,약국,
약국,01_01_06_P,솔빛약국,205572.745307463,368619.108181335,약국,
약국,01_01_06_P,자이약국,207386.81242286,362921.518767752,약국,
약국,01_01_06_P,모범약국,203152.786981656,380646.011891253,약국,
약국,01_01_06_P,다사랑약국,200414.900874433,364749.477711031,약국,
약국,01_01_06_P,건강약국,191976.570705563,375612.466338733,약국,
약국,01_01_06_P,유명약국,136951.851666159,361638.479507308,약국,
약국,01_01_06_P,태안약국,137681.534323762,360931.050529525,약국,
약국,01_01_06_P,종합약국,137267.571711969,361598.805007093,약국,
약국,01_01_06_P,전약국,141307.258007728,335304.569921212,약국,
약국,01_01_06_P,뜰에봄약국,137705.061679561,361036.139707573,약국,
약국,01_01_06_P,삽다리약국,176531.976782159,353892.321813669,약국,
약국,01_01_06_P,다정약국,184749.19264628,354312.725314466,약국,
약국,01_01_06_P,우리네약국,185855.542714318,358597.774581116,약국,
약국,01_01_06_P,안면약국,141327.347132572,335319.447181261,약국,
약국,01_01_06_P,정성약국,136872.336494333,361748.400788852,약국,
약국,01_01_06_P,만리포약국,128023.162239113,362235.376105294,약국,
약국,01_01_06_P,대한약국,201323.762310813,364621.972867971,약국,
약국,01_01_06_P,소망약국,200160.957511165,364450.286767844,약국,
약국,01_01_06_P,세종약국,199830.652011505,364554.76922202,약국,
약국,01_01_06_P,아산종합약국,200302.311540648,364544.167762994,약국,
약국,01_01_06_P,태평양약국,199554.412988548,363844.742624797,약국,
약국,01_01_06_P,새아산약국,189734.131319524,374246.577106192,약국,
약국,01_01_06_P,둔포약국,203339.532713324,380638.022499131,약국,
약국,01_01_06_P,행복이열리는약국,196986.953043964,365343.958979033,약국,
약국,01_01_06_P,아산약국,201241.052791637,364648.719332871,약국,
약국,01_01_06_P,큰사랑약국,198995.326688189,365103.839200057,약국,
약국,01_01_06_P,성실약국,206787.904283604,362111.133017782,약국,
약국,01_01_06_P,대학로약국,193960.597332643,363698.332699669,약국,
약국,01_01_06_P,온양우정약국,201045.809012124,363594.218931099,약국,
약국,01_01_06_P,늘푸른약국,200468.882296496,364122.515088899,약국,
약국,01_01_06_P,라키아명일약국,205230.425716562,366353.039273693,약국,
약국,01_01_06_P,아산조은약국,200056.579385881,364479.830213724,약국,
약국,01_01_06_P,친절한마음약국,200705.792172199,363490.2361083,약국,
약국,01_01_06_P,진솔약국,206405.214448674,363584.397871559,약국,
약국,01_01_06_P,터미널약국,201341.191554264,364818.034415495,약국,
약국,01_01_06_P,메디팜약손약국,200313.766152543,364605.058393107,약국,
약국,01_01_06_P,아산우리약국,198295.423475057,372409.768441499,약국,
약국,01_01_06_P,조이행복약국,201281.285146188,360708.881166643,약국,
약국,01_01_06_P,우성약국,209368.196517417,366233.883780475,약국,
약국,01_01_06_P,수약국,204847.742443969,363458.191800943,약국,
약국,01_01_06_P,산들약국,137732.165,361018.455,약국,
약국,01_01_06_P,천사약국,136967.630032692,361718.06661371,약국,
약국,01_01_06_P,인성약국,141315.733131903,335467.137138919,약국,
약국,01_01_06_P,푸른솔약국,137766.361817092,360930.38594362,약국,
약국,01_01_06_P,청솔약국,188156.765545309,361991.053142234,약국,
약국,01_01_06_P,종로5가약국,200219.19758654,364486.351381467,약국,
약국,01_01_06_P,아산프라자약국,201117.20527898,364782.55029549,약국,
약국,01_01_06_P,인화당약국,186049.403020867,353095.507198711,약국,
약국,01_01_06_P,동아약국,186277.356782911,353168.736895812,약국,
약국,01_01_06_P,한빛약국,186266.484981441,353170.493130995,약국,
약국,01_01_06_P,솔약국,185160.226256695,354831.096877926,약국,
약국,01_01_06_P,행복한약국,185513.736959223,354454.01595367,약국,
약국,01_01_06_P,예산제일약국,184787.921212627,353417.082845449,약국,
약국,01_01_06_P,예산종로약국,186638.235521391,353132.247184861,약국,
약국,01_01_06_P,우리시민약국,185063.481946184,354769.90365039,약국,
약국,01_01_06_P,명성약국,185071.014504279,356973.745644227,약국,
약국,01_01_06_P,예산 삼선약국,186495.637516917,353193.930447439,약국,
약국,01_01_06_P,읍내약국,170341.120842024,355940.958971259,약국,
약국,01_01_06_P,삼거리약국,186706.349326925,353280.353804492,약국,
약국,01_01_06_P,서울약국,137592.093780535,361160.786868914,약국,
약국,01_01_06_P,서산약국,141295.240785529,335258.374104752,약국,
약국,01_01_06_P,번영약국,179809.045640695,338849.996349425,약국,
약국,01_01_06_P,정약국,184930.38654923,353846.280434998,약국,
약국,01_01_06_P,메디팜솔약국,180367.055172872,382279.888696287,약국,
약국,01_01_06_P,온누리이화약국,184802.890748965,354066.509935026,약국,
약국,01_01_06_P,쌍송약국,186668.316847147,353258.472653851,약국,
약국,01_01_06_P,조은약국,184718.881903165,354097.833154942,약국,
약국,01_01_06_P,정다운약국,170544.120326069,356062.153419363,약국,
약국,01_01_06_P,늘푸른약국,186296.206206129,353168.912785005,약국,
약국,01_01_06_P,수정약국,176363.239593507,353926.877560055,약국,
약국,01_01_06_P,오행당약국,186305.556369816,352907.76834326,약국,
약국,01_01_06_P,신제일약국,178162.88612946,375678.198658021,약국,
약국,01_01_06_P,하나프라자약국,166964.799638803,377124.460446378,약국,
약국,01_01_06_P,튼튼약국,167033.731375822,377054.08848378,약국,
약국,01_01_06_P,메디팜우리약국,172558.814940505,378152.844136864,약국,
약국,01_01_06_P,행복한약국,167771.192710218,376649.243855883,약국,
약국,01_01_06_P,더블유스토어약국,182736.614771345,382636.02498847,약국,
약국,01_01_06_P,중앙약국,166885.055251947,376844.828830879,약국,
약국,01_01_06_P,하나로약국,166943.762038074,376804.936921965,약국,
약국,01_01_06_P,삼봉약국,158989.038478599,390450.768904569,약국,
약국,01_01_06_P,뉴소망약국,255630.805010794,305330.526612094,약국,
약국,01_01_06_P,보건약국,251081.353127353,311564.335885555,약국,
약국,01_01_06_P,제일약국,255655.572077772,305327.33220381,약국,
약국,01_01_06_P,세계로온누리약국,261713.09791805,381712.828497763,약국,
약국,01_01_06_P,문화약국,250804.237997481,311150.797269111,약국,
약국,01_01_06_P,희망약국,250922.032263064,311350.72239436,약국,
약국,01_01_06_P,녹십자약국,250911.34245053,311175.724892874,약국,
약국,01_01_06_P,하나약국,250851.862372761,311425.21094011,약국,
약국,01_01_06_P,큰사랑약국,250931.736181672,311380.847643,약국,
약국,01_01_06_P,동화약국,250948.15264506,311403.013167117,약국,
약국,01_01_06_P,건강약국,252664.248499338,388035.837842041,약국,
약국,01_01_06_P,중앙약국,251019.36075561,311528.912123145,약국,
약국,01_01_06_P,우리약국,271109.30146387,316343.319733495,약국,
약국,01_01_06_P,우리들 약국,250857.969153451,311379.231562886,약국,
약국,01_01_06_P,천혜온누리약국,250798.756328792,311131.361193082,약국,
약국,01_01_06_P,가까운약국,251199.306671062,311500.846527816,약국,
약국,01_01_06_P,옥천매일약국,250946.083237403,311319.420795107,약국,
약국,01_01_06_P,한마음약국,250837.913320331,311074.514785567,약국,
약국,01_01_06_P,김약국,250907.953675002,311348.004899862,약국,
약국,01_01_06_P,남천약국,307660.309456722,404522.432584567,약국,
약국,01_01_06_P,한라약국,308027.483514509,406288.742495734,약국,
약국,01_01_06_P,세일약국,307457.545810081,404688.551835137,약국,
약국,01_01_06_P,프라자약국,243179.523815566,385218.661181484,약국,
