개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
영화,03_13_02_P,CGV 광주터미널 1관,189004.9682,184579.5536,영화,CGV
영화,03_13_02_P,CGV광주상무 제1관,186350.8164,183915.8701,영화,CGV
영화,03_13_02_P,광주극장,191934.2551,183420.9653,영화,
영화,03_13_02_P,계림극장,,,영화,
영화,03_13_02_P,샤롯데관,191913.0383,183968.0199,영화,롯데시네마
영화,03_13_02_P,광주독립영화관(G시네마),192842.5254,183089.7815,영화,
영화,03_13_02_P,롯데시네마 충장로 8관,192149.202,183221.9289,영화,롯데시네마
영화,03_13_02_P,메가박스 전대 6관,191950.6543,185940.6389,영화,메가박스
영화,03_13_02_P,광주자동차극장,190877.7984,191627.3773,영화,
영화,03_13_02_P,롯데시네마 율하관(제6관),352868.5366,264480.5655,영화,롯데시네마
영화,03_13_02_P,씨네Q 대구이시아 1관,347690.4344,270271.2257,영화,
영화,03_13_02_P,메가박스중앙 (주)대구 신세계지점 Dolby Cinema관,347037.242,265407.4043,영화,메가박스
영화,03_13_02_P,씨네팔공산,352679.2832,277641.7859,영화,
영화,03_13_02_P,롯데시네마 프리미엄 만경관 8관,343571.9657,264582.7763,영화,롯데시네마
영화,03_13_02_P,CGV대구현대 제1관,343588.7356,264119.0108,영화,CGV
영화,03_13_02_P,CGV대구아카데미제5관,343908.6834,264477.417,영화,CGV
영화,03_13_02_P,롯데시네마 동성로 제1관(샤롯데관),344128.8755,264507.1567,영화,롯데시네마
영화,03_13_02_P,독립영화전용관 오오극장,343471.4392,264558.0693,영화,
영화,03_13_02_P,CGV대구한일 3관,344009.2409,264537.6112,영화,CGV
영화,03_13_02_P,CGV 대구수성 제1관,348194.4994,259144.5193,영화,CGV
영화,03_13_02_P,CGV대구스타디움제1관,352335.045,260158.7502,영화,CGV
영화,03_13_02_P,롯데시네마 성서9 (제9관),336128.8616,262620.4355,영화,롯데시네마
영화,03_13_02_P,롯데시네마 상인 제1관,339041.173,258463.128,영화,롯데시네마
영화,03_13_02_P,CGV 대구월성 1관,337925.1213,259346.8508,영화,CGV
영화,03_13_02_P,예당시네마,344845.7834,370384.9337,영화,
영화,03_13_02_P,롯데시네마 영주,344256.2072,370753.4519,영화,롯데시네마
영화,03_13_02_P,메가박스공주제1관,212364.4999,330291.5739,영화,메가박스
영화,03_13_02_P,CGV천안 8관,213170.6052,367376.0817,영화,CGV
영화,03_13_02_P,CGV천안펜타포트(1관),208976.4765,366326.6344,영화,CGV
영화,03_13_02_P,CGV천안터미널 2관,213910.8506,368774.0876,영화,CGV
영화,03_13_02_P,금성시네마,191994.9315,308949.1439,영화,
영화,03_13_02_P,인디플러스 천안,213497.5571,367440.5055,영화,
영화,03_13_02_P,천안인생극장,213495.9752,367329.0431,영화,
영화,03_13_02_P,메가박스중앙(주) 천안지점(제1관),213076.3258,370130.3313,영화,메가박스
영화,03_13_02_P,용봉산시네마,169691.5845,349204.6893,영화,
영화,03_13_02_P,CGV 홍성(제1관),170963.8162,344485.5651,영화,CGV
영화,03_13_02_P,(주)홍성메가 2관,171227.2017,350955.2392,영화,
영화,03_13_02_P,롯데시네마 서산관(1관),152229.2291,364299.2693,영화,롯데시네마
영화,03_13_02_P,스타박스 1관,192176.0015,308412.5469,영화,
영화,03_13_02_P,태안 작은영화관 1관,138419.6435,361755.2695,영화,
영화,03_13_02_P,CGV서산 1관,151407.21,364271.7801,영화,CGV
영화,03_13_02_P,평택호자동차극장,192985.284,379973.746,영화,
영화,03_13_02_P,CGV 평택소사 3관,209854.0132,388765.0857,영화,CGV
영화,03_13_02_P,CGV평택 4DX관,207390.4968,387776.2716,영화,CGV
영화,03_13_02_P,롯데컬처웍스(주) 롯데시네마 송탄1관,205355.9942,396167.9982,영화,롯데시네마
영화,03_13_02_P,롯데시네마 평택비전 3관,209932.5817,388254.4237,영화,롯데시네마
영화,03_13_02_P,대한극장(6관),199532.8921,451004.6367,영화,
영화,03_13_02_P,씨지브이 용산아이파크몰 제2관,196762.0774,447480.0396,영화,
영화,03_13_02_P,CGV 영등포 제3관,191385.0574,446098.5559,영화,CGV
영화,03_13_02_P,CGV여의도 5관 [CGV아트하우스],193326.931,446973.9146,영화,CGV
영화,03_13_02_P,"명보 <<1,2,5관>>",199332.2989,451378.468,영화,
영화,03_13_02_P,메가박스중앙(주) 목동지점 COMFORT 2관,188977.1711,447466.355,영화,메가박스
영화,03_13_02_P,메가박스중앙(주)더부티크목동현대백화점101호(The Boutique),188884.0756,447186.8886,영화,메가박스
영화,03_13_02_P,아리랑시네센터 제1관,201158.1367,455288.7654,영화,
영화,03_13_02_P,CGV 성신여대입구 2관,201447.4187,454477.1033,영화,CGV
