개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
주유소,09_28_07_P,(주)에스에이치바이오팜,214178.81466171,420141.465544606,주유소,
주유소,09_28_07_P,(주)유영마린서비스,385708.879355563,180507.809333956,주유소,
주유소,09_28_07_P,반야케미칼(주),380533.846089788,186250.31461722,주유소,
주유소,09_28_07_P,(주)두리에너지,385599.322545207,179877.201347218,주유소,
주유소,09_28_07_P,(주)포세이돈코리아,396697.860724865,186636.589265073,주유소,
주유소,09_28_07_P,(주)대일석유,389825.304735693,191472.756897665,주유소,
주유소,09_28_07_P,주식회사 크린바이오,246228.563668037,168186.589240679,주유소,
주유소,09_28_07_P,(주)리얼토탈에너지 포항지점,418979.419124988,279439.899369404,주유소,
주유소,09_28_07_P,백영해운(주),385663.457515779,179718.597231335,주유소,
주유소,09_28_07_P,(주)디에스에너지,188634.757177647,209371.534066991,주유소,
주유소,09_28_07_P,아이에스오일(주) 여수지점,262275.047757199,147768.606874278,주유소,
주유소,09_28_07_P,주식회사 대성지엘,340172.656579432,290889.566626366,주유소,
주유소,09_28_07_P,(주)태영에너지,171767.705055654,440281.282885713,주유소,
주유소,09_28_07_P,에스제이에너지,173182.739432088,431539.840154139,주유소,
주유소,09_28_07_P,(주)후암,267162.30679862,139754.138557136,주유소,
주유소,09_28_07_P,아이에스오일(주),239069.892309779,315716.165130313,주유소,
주유소,09_28_07_P,(주)광명페트로,388413.442125155,176749.171252099,주유소,
주유소,09_28_07_P,에스엠케미칼(주),152743.90172717,198028.300313585,주유소,
주유소,09_28_07_P,(유)수경,252644.958878616,153422.188410235,주유소,
주유소,09_28_07_P,(주)국제,266636.491613946,138590.620085209,주유소,
주유소,09_28_07_P,(유)씨페코,176726.696447425,91789.9755628016,주유소,
주유소,09_28_07_P,(유)동천해상급유,267520.487261548,137978.376478725,주유소,
주유소,09_28_07_P,(주)예켐상사 벌교지점,231346.01242684,151323.487484357,주유소,
주유소,09_28_07_P,(유)신영에너지,258970.03266268,126123.910100288,주유소,
주유소,09_28_07_P,(주)희연,263799.853762464,141428.930289868,주유소,
주유소,09_28_07_P,현대정밀화학(주),259740.540965319,144772.738199476,주유소,
주유소,09_28_07_P,(주)리드코프,146142.978462158,141697.465621155,주유소,
주유소,09_28_07_P,켐솔루션(주),258441.093183989,141804.463785192,주유소,
주유소,09_28_07_P,경원산업(주),152743.90172717,198028.300313585,주유소,
주유소,09_28_07_P,(주)대일에너지,248267.935919131,161925.592146397,주유소,
주유소,09_28_07_P,순천농협 도사지점,246026.898057779,156866.196120826,주유소,
주유소,09_28_07_P,(주)수경특수유조,248988.985884095,160352.718255823,주유소,
주유소,09_28_07_P,(유)정에너지,268051.44201581,138025.6180775,주유소,
주유소,09_28_07_P,(주)해인,247165.771123774,157456.422812019,주유소,
주유소,09_28_07_P,(주)동양석유,168442.092937452,142778.050453704,주유소,
주유소,09_28_07_P,아더케미컬,173613.923973383,160875.228340976,주유소,
주유소,09_28_07_P,(주)세방유화,184353.705137554,160957.084246843,주유소,
주유소,09_28_07_P,(주)제이엔씨 테크,259716.023167032,144828.18539082,주유소,
주유소,09_28_07_P,주식회사 에스씨,260788.987372593,143033.127165521,주유소,
주유소,09_28_07_P,주식회사 대유,249696.20312715,165411.378342393,주유소,
주유소,09_28_07_P,(주)한진케미칼,246256.485702375,168188.026880036,주유소,
주유소,09_28_07_P,주식회사 한라해상급유,137037.682231484,-3106.6809652763,주유소,
주유소,09_28_07_P,㈜에스비해양산업개발,385854.644767925,181155.449049794,주유소,
주유소,09_28_07_P,주식회사 태기보(부산지점),389605.22519327,181346.424641503,주유소,
주유소,09_28_07_P,네오아크오일(주),201683.098682684,440311.824951753,주유소,
주유소,09_28_07_P,한석오일(주),267208.325937759,400870.834513602,주유소,
주유소,09_28_07_P,사우디에너지,161102.776773631,455592.612797678,주유소,
주유소,09_28_07_P,위아(주),181339.429851425,388281.738237147,주유소,
주유소,09_28_07_P,(주)프라임산업,206521.718164127,417068.663604595,주유소,
주유소,09_28_07_P,(주)다성이엔지,237147.471616584,341131.29394575,주유소,
