개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
편의점,07_24_05_P,씨유 관악은천점,195414.929995391,442771.233965249,편의점,CU
편의점,07_24_05_P,CU고양센트럴점,188355.429028538,461166.994433023,편의점,CU
편의점,07_24_05_P,씨유 화곡트윈캐슬점,186728.272021831,448837.12245991,편의점,CU
편의점,07_24_05_P,세븐일레븐평택반지마을점,205928.417623652,395068.636197154,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 화성조암동로점,184196.092369366,398199.487422205,편의점,세븐일레븐
편의점,07_24_05_P,씨유 송산스타점,175912.797027947,413494.426942913,편의점,CU
편의점,07_24_05_P,씨유 향남행정중앙로점,193057.472326432,403129.995628748,편의점,CU
편의점,07_24_05_P,세븐일레븐 광화문우체국점,197995.218793409,451945.047247204,편의점,세븐일레븐
편의점,07_24_05_P,이마트24 포천호국로점,221971.702551032,501767.988021991,편의점,이마트24
편의점,07_24_05_P,씨유 화곡더숨점,186237.470598342,448455.227236388,편의점,CU
편의점,07_24_05_P,세븐일레븐 밤가시점,180280.579747579,463421.622553754,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 대전월평공원점,232278.032383851,317386.226054976,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 숭의센터점,169696.895458542,440131.553663944,편의점,세븐일레븐
편의점,07_24_05_P,이마트24알고덕로데오점,204219.321571389,395067.783815201,편의점,이마트24
편의점,07_24_05_P,세븐일레븐 도안북로점,230036.842023578,314396.789254512,편의점,세븐일레븐
편의점,07_24_05_P,GS김천현대점,300663.765998879,292960.332410357,편의점,GS25
편의점,07_24_05_P,지에스25하당센트럴점,146923.918677015,146000.615644707,편의점,GS25
편의점,07_24_05_P,(주)비지에프리테일 도봉한아름점,203712.556010149,463194.2460725,편의점,
편의점,07_24_05_P,세븐일레븐사천카이점,297681.88806618,175701.112944351,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 울산교동나이스점,392150.882493795,231101.737489389,편의점,세븐일레븐
편의점,07_24_05_P,씨유 관양해피점,195801.162222742,433504.827152577,편의점,CU
편의점,07_24_05_P,씨유(CU)안기하은점,353554.107994797,342629.981417152,편의점,CU
편의점,07_24_05_P,세븐일레븐대구비산드림점,340116.490584707,266911.884251114,편의점,세븐일레븐
편의점,07_24_05_P,씨유 청도역점,358115.91762067,239316.029358093,편의점,CU
편의점,07_24_05_P,씨유 벌교읍점,231315.242347457,149854.436747249,편의점,CU
편의점,07_24_05_P,세븐일레븐 성남복정하나점,211219.498774165,440567.549968693,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 성남복정중앙점,211163.687343708,439558.103265678,편의점,세븐일레븐
