개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
생활,10_42_01_P,우먼파워에어로빅,213851.44347321,260819.67424247,헬스장,헬스장
생활,10_42_01_P,홍농 헬스클럽,149295.639217316,210513.94484664,헬스장,헬스장
생활,10_42_01_P,리더스 스포츠클럽,154464.538225359,197625.492965299,헬스장,헬스장
생활,10_42_01_P,태정헬스,155310.969051426,197544.5253739,헬스장,헬스장
생활,10_42_01_P,탑 휘트니스,196000.020126776,424397.758706817,헬스장,헬스장
생활,10_42_01_P,청주헬스스포츠센타,243950.927299496,352113.320431903,헬스장,헬스장
생활,10_42_01_P,올에이휘트니스센타,245855.318551458,346759.605531425,헬스장,헬스장
생활,10_42_01_P,신흥체육관,244036.760847314,351909.804709751,헬스장,헬스장
생활,10_42_01_P,우경헬스,244872.847727422,345407.178330093,헬스장,헬스장
생활,10_42_01_P,용암헬스스트레칭,245015.446551225,345504.825934223,헬스장,헬스장
생활,10_42_01_P,중곡문화체육센터,207416.176199123,451726.824779759,헬스장,헬스장
생활,10_42_01_P,(주)한듬레포츠,184880.558693285,188912.678460544,헬스장,헬스장
생활,10_42_01_P,삼호 헬스,171381.655890851,434849.984979024,헬스장,헬스장
생활,10_42_01_P,구리시청소년수련관,212452.473507195,455728.631803299,헬스장,헬스장
생활,10_42_01_P,감골시민헬스장,187156.242793,421276.868631119,헬스장,헬스장
생활,10_42_01_P,종로동부여성문화센터,200804.888850316,452741.407066735,헬스장,헬스장
생활,10_42_01_P,종로청소년문화센터,199345.254563628,454257.479097309,헬스장,헬스장
생활,10_42_01_P,금정산온천레포츠,390057.531834683,196950.450593302,헬스장,헬스장
생활,10_42_01_P,여주국민체육센터(체력단련실),257663.010430815,422156.354940146,헬스장,헬스장
생활,10_42_01_P,"24시월드사우나,찜질방",354792.364248107,156215.576799299,헬스장,헬스장
생활,10_42_01_P,동대문구민체육센터,206464.060139046,451657.395402106,헬스장,헬스장
생활,10_42_01_P,슬림 휘트니스 클럽,332194.039350798,262922.646700498,헬스장,헬스장
생활,10_42_01_P,다짐휘트니스,336683.494177401,257706.239004088,헬스장,헬스장
생활,10_42_01_P,디젤 피트니스,330265.677983465,254557.497156991,헬스장,헬스장
생활,10_42_01_P,뷰스 짐,331787.419404876,244661.838228877,헬스장,헬스장
생활,10_42_01_P,다짐휘트니스,333467.570339069,264868.000124082,헬스장,헬스장
생활,10_42_01_P,브로 인 제이,334827.37759547,264161.193112527,헬스장,헬스장
생활,10_42_01_P,레드짐 피트니스,331379.966950723,244467.090015024,헬스장,헬스장
생활,10_42_01_P,GYM ATLAS,346651.289231788,257150.732356943,헬스장,헬스장
생활,10_42_01_P,Team Shark,333375.662195592,264726.007637201,헬스장,헬스장
생활,10_42_01_P,H-헬스,326155.392494767,277274.483162648,헬스장,헬스장
생활,10_42_01_P,삼부헬스,325973.973147021,276626.672056506,헬스장,헬스장
생활,10_42_01_P,피티타임(PT:TIME),327160.252148517,287334.004287989,헬스장,헬스장
생활,10_42_01_P,유원천파크,327819.448606057,287419.190493008,헬스장,헬스장
생활,10_42_01_P,위즈메이커 바디핏,326011.766276689,287210.511124495,헬스장,헬스장
생활,10_42_01_P,Team JJ Fitness,327067.843399037,287477.59334477,헬스장,헬스장
생활,10_42_01_P,강남PT,326198.371374015,285801.881003355,헬스장,헬스장
생활,10_42_01_P,엑스로즈 헬스클럽,325364.145153496,286777.479586537,헬스장,헬스장
생활,10_42_01_P,교육문화회관 체력단련장,327763.5307747,277718.730023173,헬스장,헬스장
생활,10_42_01_P,북삼온천 하이힐,320744.86386836,285987.332143813,헬스장,헬스장
생활,10_42_01_P,왜관온천웰스파,326430.47895636,278130.771748304,헬스장,헬스장
생활,10_42_01_P,경북헬스뱅크,325257.569523513,278919.49262718,헬스장,헬스장
생활,10_42_01_P,천호헬스피아,327089.974498153,287331.423793856,헬스장,헬스장
생활,10_42_01_P,YB P.T GYM,414013.741031138,390678.126403499,헬스장,헬스장
생활,10_42_01_P,장강건강헬스,383896.215196881,328330.597583526,헬스장,헬스장
생활,10_42_01_P,골드웨이브 경북도청점,333107.913631427,342622.362664024,헬스장,헬스장
생활,10_42_01_P,용인대석사백호헬스클럽,328946.721701139,350783.54703932,헬스장,헬스장
생활,10_42_01_P,호림헬스피아,330546.258270137,351702.99394246,헬스장,헬스장
생활,10_42_01_P,광일휘트니스클럽,329559.578617966,351402.549448679,헬스장,헬스장
생활,10_42_01_P,대신 스포랜드,400739.288153054,264630.600176733,헬스장,헬스장
생활,10_42_01_P,동광토탈휘트니스,399561.892985778,263436.002247753,헬스장,헬스장
생활,10_42_01_P,용강스파휘트니스 헬스클럽,401426.804830713,266328.221868179,헬스장,헬스장
생활,10_42_01_P,북삼헬스,321219.129795088,286304.115801456,헬스장,헬스장
생활,10_42_01_P,남해라이프짐&휘트니스,281527.256413317,148975.755546626,헬스장,헬스장
생활,10_42_01_P,청호헬스,373777.103523163,195468.833420741,헬스장,헬스장
생활,10_42_01_P,건강해GYM,371531.945417815,193692.246525797,헬스장,헬스장
생활,10_42_01_P,에너지플러스,374241.076876307,194752.640355482,헬스장,헬스장
생활,10_42_01_P,굿모닝 헬스,364599.309585312,190900.268424688,헬스장,헬스장
생활,10_42_01_P,코아헬스,373277.586442545,195768.553973379,헬스장,헬스장
생활,10_42_01_P,마스터짐,357257.34951909,202218.737049294,헬스장,헬스장
생활,10_42_01_P,영오헬스,369894.667134668,194922.195545341,헬스장,헬스장
생활,10_42_01_P,청암헬스,371311.619328092,194120.572346898,헬스장,헬스장
생활,10_42_01_P,지엑스월드,364053.706256006,189833.084573917,헬스장,헬스장
생활,10_42_01_P,율하 휘트니스,365120.953848957,187169.584825805,헬스장,헬스장
